"region","age","2016"

"Stockholm","18-29 years",385.4

"Stockholm","30-49 years",659.5

"Stockholm","50-64 years",683.3

"Uppsala","18-29 years",300.9

"Uppsala","30-49 years",542.7

"Uppsala","50-64 years",580.4

"Södermanland,"18-29 years",317.5

"Södermanland,"30-49 years",489.4

"Södermanland,"50-64 years",507.6

"Östergötland","18-29 years",290.3

"Östergötland","30-49 years",502.7

"Östergötland","50-64 years",532.8

"Jönköping","18-29 years",330.8

"Jönköping","30-49 years",518.8

"Jönköping","50-64 years",556.7

"Kronoberg","18-29 years",307.3

"Kronoberg","30-49 years",503.2

"Kronoberg","50-64 years",530.3

"Kalmar","18-29 years",312.3

"Kalmar","30-49 years",483.8

"Kalmar","50-64 years",500.5

"Gotland","18-29 years",300.4

"Gotland","30-49 years",487.6

"Gotland","50-64 years",489.6

"Blekinge","18-29 years",292.0

"Blekinge","30-49 years",478.4

"Blekinge","50-64 years",492.4

"Skåne","18-29 years",307.5

"Skåne","30-49 years",500.4

"Skåne","50-64 years",538.3

"Halland","18-29 years",349.7

"Halland","30-49 years",575.0

"Halland","50-64 years",619.5

"Västra Götaland","18-29 years",329.0

"Västra Götaland","30-49 years",522.3

"Västra Götaland","50-64 years",561.7

"Värmland","18-29 years",281.1

"Värmland","30-49 years",456.4

"Värmland","50-64 years",469.9

"Orebro","18-29 years",290.9

"Orebro","30-49 years",478.1

"Orebro","50-64 years",494.8

"Västmanland","18-29 years",319.0

"Västmanland","30-49 years",501.3

"Västmanland","50-64 years",515.3

"Dalarna","18-29 years",307.5

"Dalarna","30-49 years",468.7

"Dalarna","50-64 years",482.1

"Gävleborg","18-29 years",297.8

"Gävleborg","30-49 years",462.1

"Gävleborg","50-64 years",480.1

"Västernorrland","18-29 years",303.6

"Västernorrland","30-49 years",477.2

"Västernorrland","50-64 years",488.7

"Jämtland","18-29 years",293.0

"Jämtland","30-49 years",468.7

"Jämtland","50-64 years",474.5

"Västerbotten","18-29 years",281.2

"Västerbotten","30-49 years",478.9

"Västerbotten","50-64 years",511.9

"Norrbotten","18-29 years",317.1

"Norrbotten","30-49 years",487.3

"Norrbotten","50-64 years",495.6

